REQID,CLIENTID,REASON,LOAN,BAD,DEROG,DELINQ,CLAGE,NINQ,DEBTINC,INCOME,CREDIT_SCORE
12890,18474848-vgzv,Debt Consolidation,22400,0,0,0,219.4892985,0,41.14904123,43135,628
12900,18510544-owin,Home Improvement,15800,0,0,0,249.9837678,0,42.43556267,40390,306
12920,18597832-gdyd,Home Improvement,11100,1,0,0,,2,18.65484674,52460,542
12930,18611723-mgic,Debt Consolidation,23400,0,0,0,284.7815723,2,35.9367948,44545,499
12940,18613098-kxfo,Debt Consolidation,17100,0,0,0,247.2958966,0,25.63211643,40880,337
12950,18634179-chqe,Debt Consolidation,25900,0,1,0,188.3758019,5,40.50485505,46380,827
12960,18636989-jnan,Debt Consolidation,12700,0,0,0,137.4386924,0,31.60310093,61035,700
12980,18678238-gral,Debt Consolidation,10900,0,0,1,404.9043933,0,23.61012437,52055,784
13000,18754649-joyw,Debt Consolidation,17200,0,0,0,140.973401,0,28.6621734,52700,423
13010,18837743-uobb,Home Improvement,13000,1,0,0,19.33333333,7,48.34141069,209885,692
13020,18843548-fzdn,Home Improvement,7500,1,,5,299.5666667,2,10.84428621,171065,802
13030,18859071-qgzu,Debt Consolidation,28500,0,0,0,102.5670171,6,35.67150508,110090,665
13040,18868780-mben,Debt Consolidation,52800,0,0,0,91.13322531,1,40.66968682,98505,791
13050,18891047-kvuv,Home Improvement,40700,0,0,0,316.6044418,3,41.72389922,99460,823
13070,19012127-zboh,Debt Consolidation,20800,0,0,0,50.29354716,7,38.12040471,44145,765
13080,19043702-wckj,Debt Consolidation,10200,0,1,0,115.7806282,1,22.31370515,178040,761
13090,19058379-rqbz,Debt Consolidation,14600,1,1,,93.33333333,3,44.02983229,123255,425
13110,19108615-hkxf,Debt Consolidation,27800,0,0,0,137.2340443,1,24.52237465,61530,524
13130,19184231-zfjm,Home Improvement,8700,0,0,0,105.1022551,0,36.44893885,61960,625
13150,19192079-bail,Debt Consolidation,23700,1,1,0,138.9666667,2,29.31948103,52660,308
13160,19230447-kcpc,Home Improvement,18600,1,0,0,46.94616405,0,40.8529275,61495,620
13180,19274322-bebx,Home Improvement,25600,0,0,0,187.8714209,0,40.03321863,61895,651
13190,19274502-vfkk,Home Improvement,6900,0,,,311.8698993,,30.79062077,61550,439
13230,19356188-ghai,Debt Consolidation,27200,0,1,0,186.7785479,3,34.81068944,44250,763
13240,19358055-codp,Debt Consolidation,18000,0,0,0,219.1666667,4,35.06195957,46670,819
13250,19380336-bndo,Debt Consolidation,27900,0,0,0,282.7596984,1,38.26657321,43090,422
13260,19387599-wihe,Home Improvement,12500,0,0,0,309.4,1,32.77487143,45255,825
13270,19404725-jlab,Home Improvement,6800,0,0,0,208.420843,0,19.33336736,52645,674
13280,19415818-ngkr,Debt Consolidation,22600,1,0,0,259.319755,1,27.74405551,61600,628
13290,19432633-acec,Home Improvement,11500,0,0,0,191.3968875,0,34.36865089,52475,472
13300,19546068-ljhm,Home Improvement,14000,0,0,0,115.6,1,20.74831806,61480,643
13310,19611501-figl,Debt Consolidation,21400,0,0,0,180.4173542,0,17.49570049,61780,352
13320,19630137-zxxe,Home Improvement,20100,1,0,2,326.4904903,,40.10630054,43100,671
13330,19650873-zlwl,Home Improvement,11300,0,0,0,122.423011,,18.24476142,45890,758
13350,19739046-rpag,Debt Consolidation,25600,0,,,100.6768656,,28.11606742,61910,762
13360,19812783-ifmg,Debt Consolidation,16900,0,0,0,279.1125847,1,29.64517729,43525,721
13370,19817352-leky,Debt Consolidation,13400,0,3,0,71.44366499,1,24.47029999,52440,678
13380,19822254-hvel,Debt Consolidation,12800,0,0,0,159.3541041,1,40.1115783,61605,626
13390,19856402-wgxn,Debt Consolidation,10600,0,0,0,77.11428511,0,32.58746565,44715,710
13400,19903295-yecq,Home Improvement,11200,0,0,0,221.4180934,0,25.46264153,40795,676
13410,19931198-mzir,Moving Expense,9100,0,1,0,183.2317489,,23.94251651,61810,759
13420,19949158-bpdh,Debt Consolidation,31200,0,0,0,171.2144163,1,43.17681901,61970,674
13430,19970526-qknr,Debt Consolidation,18500,0,,,135.5729778,,33.46387238,52465,529
13440,20006389-amuu,Home Improvement,15800,0,0,0,116.7631844,4,35.11315049,44695,661
13450,20010875-yyfv,Home Improvement,9600,0,0,0,120.6445586,0,35.98492935,61790,358
13460,20059542-ypda,Debt Consolidation,21500,0,0,0,173.3416649,0,39.85872689,45465,726
13470,20076140-mhff,Debt Consolidation,23900,0,2,0,123.3686461,1,26.71625685,61060,558
13490,20109219-oaez,Home Improvement,9100,0,0,2,131.193496,0,26.09041891,43480,370
13500,20165794-byin,Debt Consolidation,20500,0,,,151.5753417,,36.50493346,61390,837
13520,20216273-qyeb,Debt Consolidation,12300,0,,1,173.7143227,0,32.05607229,61515,642
13530,20228061-mofk,Debt Consolidation,37600,0,0,0,202.1125682,2,25.19652419,45490,627
13540,20283436-nauq,Debt Consolidation,33600,0,0,0,342.4680597,0,40.89238843,44990,595
13550,20297579-nuyw,Home Improvement,14200,0,0,0,130.1675148,1,27.17296471,61445,413
13560,20307578-ziwl,Debt Consolidation,22300,1,0,1,64.93333333,2,44.9838507,52860,739
13570,20309855-kllz,Home Improvement,23000,0,0,0,214.3892524,0,29.04596406,45765,743
13590,20367037-eohb,Debt Consolidation,26600,0,0,0,197.3917133,0,40.51498958,45785,675
13600,20457432-ejmp,Home Improvement,9700,0,0,0,244.5333333,1,15.95936256,52215,395
13630,20490598-ioko,Wedding,25700,0,1,3,124.6937112,,33.85046122,52050,725
13640,20493210-fnzh,Home Improvement,12700,0,0,1,148.2880996,0,33.46369747,40375,756
13650,20511229-bkhq,Home Improvement,11400,0,0,2,199.0877211,0,29.46213408,43135,671
13660,20544035-uirc,Debt Consolidation,12300,1,1,1,154.8378312,,40.22228314,61205,727
13670,20553755-pwye,Home Improvement,19000,0,0,,254.7424804,,39.61320557,43345,699
13680,20606641-doqd,Debt Consolidation,26600,1,0,0,137.5388776,2,42.57188992,40745,865
13700,20689675-ohrq,Debt Consolidation,31400,0,,,268.2649306,0,41.44876331,43745,359
13710,20721241-urib,Debt Consolidation,10600,0,0,0,197.709267,1,26.25188835,61165,590
13720,20723435-kcuy,Debt Consolidation,15200,0,0,0,275.4796976,0,20.78514557,61970,706
13760,20761397-bjkr,Debt Consolidation,11200,0,0,1,399.2426919,1,23.37450457,258190,374
13770,20798647-rawi,Home Improvement,15000,1,0,1,120.6,2,33.55206921,483455,424
13780,20799713-ocru,Debt Consolidation,38900,0,0,0,,6,33.45924564,52510,830
13790,20829972-yiuf,Home Improvement,31800,0,,,114.1237846,10,41.45670798,46750,714
13800,20861702-oghj,Debt Consolidation,9800,0,4,0,,0,31.29011899,43585,838
13810,20869183-qhwb,Debt Consolidation,14500,0,0,0,254.6645258,0,38.72467961,91105,648
13820,20980509-pvyk,Debt Consolidation,12800,1,0,1,80.14894304,4,42.31937039,63435,763
13830,21002051-bqbk,Debt Consolidation,9800,0,0,0,85.90093624,1,26.33161906,58635,722
13840,21048759-wbwg,Home Improvement,25300,0,0,0,187.1925099,0,38.65684666,49390,557
13850,21069565-iyme,Debt Consolidation,18900,0,0,2,134.2798423,0,40.42119971,43455,838
13860,21086865-xihi,Debt Consolidation,18000,0,0,0,272.9333333,3,25.42002642,61840,779
13870,21125578-bvny,Debt Consolidation,27400,0,0,0,180.204345,1,33.4950887,47195,674
13890,21201956-pzpj,Debt Consolidation,24200,0,0,0,226.1163866,1,34.49993837,47925,538
13900,21210330-glcf,Debt Consolidation,20100,0,0,0,227.1825172,2,36.6966301,57570,650
13920,21285273-ouni,Debt Consolidation,12500,0,0,1,107.7410948,0,19.30085445,57485,352
13930,21297057-paeq,Debt Consolidation,21900,0,,1,116.5339256,1,38.88482695,176290,619
